,FIPS,2000_cand,2004_cand,2008_cand,2012_cand,2016_cand,2000_percent,2004_percent,2008_percent,2012_percent,2016_percent,party2000,party2004,party2008,party2012,party2016,Switch_1996_2000,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016,county,state
0,1001,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.696943282,0.756735222,0.736136373,0.726182517,0.727665879,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Autauga,Alabama
1,1003,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.723654391,0.76415176,0.752594794,0.773582695,0.765457123,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Baldwin,Alabama
2,1007,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.601746233,0.72,0.724433133,0.728266033,0.764032203,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Bibb,Alabama
3,1009,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.704779391,0.808500744,0.840194503,0.864658835,0.893348445,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Blount,Alabama
4,1013,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.528899141,0.591611217,0.564939747,0.535699242,0.561268896,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Butler,Alabama
5,1015,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.573286386,0.658887489,0.65691889,0.654560391,0.68663296,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Calhoun,Alabama
6,1017,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.510140274,0.584868017,0.539382188,0.521935528,0.564244604,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Chambers,Alabama
7,1019,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.530998338,0.654547464,0.74889687,0.767563146,0.83415634,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Cherokee,Alabama
8,1021,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.666975881,0.768525729,0.784931122,0.797846753,0.821002776,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Chilton,Alabama
9,1025,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.556919643,0.590661752,0.555712691,0.539311241,0.547924181,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Clarke,Alabama
10,1027,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.632160462,0.703163017,0.730898959,0.723056139,0.791817633,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Clay,Alabama
