FIPS,state_po,2000_cand,2004_cand,2008_cand,2012_cand,2016_cand,2000_percent,2004_percent,2008_percent,2012_percent,2016_percent,party1996,party2000,party2004,party2008,party2012,party2016,Switch_1996_2000,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016
2,AK,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.586209553,0.610653299,0.594245195,0.548015774,0.512815121,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
1,AL,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.564837554,0.624606898,0.60316913,0.605458223,0.620830924,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
5,AR,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.513071977,0.543059591,0.587159045,0.605669361,0.605741022,democrat,republican,republican,republican,republican,republican,TRUE,FALSE,FALSE,FALSE,FALSE
4,AZ,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.510211382,0.548694341,0.536352478,0.536545332,0.486716165,democrat,republican,republican,republican,republican,republican,TRUE,FALSE,FALSE,FALSE,FALSE
6,CA,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.534497368,0.543055575,0.610126383,0.602389591,0.617263996,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
8,CO,"Bush, George W.","Bush, George W.","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.507502148,0.517110954,0.536602368,0.514922266,0.481569804,republican,republican,republican,democrat,democrat,democrat,FALSE,FALSE,TRUE,FALSE,FALSE
9,CT,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.559096281,0.54313709,0.605888297,0.580850133,0.545663011,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
11,DC,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.851550814,0.89183869,0.924571098,0.909131139,0.904838839,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
10,DE,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.549777272,0.533468376,0.61942669,0.58610742,0.533533368,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
12,FL,"Bush, George W.","Bush, George W.","Obama, Barack H.","Obama, Barack H.","Trump, Donald J.",0.488468266,0.520975162,0.510333053,0.500078651,0.490219414,democrat,republican,republican,democrat,democrat,republican,TRUE,FALSE,TRUE,FALSE,TRUE
13,GA,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.549595697,0.579747568,0.52204518,0.533292422,0.507713261,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
15,HI,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.557916679,0.540095522,0.714529101,0.701479324,0.609807981,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
19,IA,"Gore, Al","Bush, George W.","Obama, Barack H.","Obama, Barack H.","Trump, Donald J.",0.471919156,0.499006575,0.539280201,0.519880165,0.511620613,democrat,democrat,republican,democrat,democrat,republican,FALSE,TRUE,TRUE,FALSE,TRUE
16,ID,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.671704395,0.683909448,0.615170915,0.645297835,0.592614324,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
17,IL,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.545965212,0.548231602,0.619181145,0.576021354,0.558253667,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
18,IN,"Bush, George W.","Bush, George W.","Obama, Barack H.","Romney, Mitt","Trump, Donald J.",0.566468816,0.59944765,0.499459116,0.541255324,0.569400334,republican,republican,republican,democrat,republican,republican,FALSE,FALSE,TRUE,TRUE,FALSE
20,KS,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.580416632,0.620039806,0.566122543,0.597113204,0.566545818,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
21,KY,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.565064834,0.595495138,0.573990211,0.604931416,0.625196386,democrat,republican,republican,republican,republican,republican,TRUE,FALSE,FALSE,FALSE,FALSE
22,LA,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.525510632,0.567220213,0.585627213,0.577845757,0.580886847,democrat,republican,republican,republican,republican,republican,TRUE,FALSE,FALSE,FALSE,FALSE
25,MA,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.59126126,0.616166602,0.613631991,0.603383083,0.590500651,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
24,MD,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.564883084,0.559714676,0.619193448,0.619741908,0.603257442,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
23,ME,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.490860165,0.535728557,0.577057373,0.553710342,0.463452141,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
26,MI,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Trump, Donald J.",0.512797989,0.512307067,0.574332473,0.542082042,0.474975642,democrat,democrat,democrat,democrat,democrat,republican,FALSE,FALSE,FALSE,FALSE,TRUE
27,MN,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.479055721,0.510896847,0.540602927,0.526523032,0.46445034,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
29,MO,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.50422816,0.532961919,0.494260744,0.537637411,0.567723478,democrat,republican,republican,republican,republican,republican,TRUE,FALSE,FALSE,FALSE,FALSE
28,MS,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.576195151,0.590143741,0.56176189,0.552858467,0.579410381,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
30,MT,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.584394602,0.590681432,0.495324509,0.553515354,0.564661919,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
37,NC,"Bush, George W.","Bush, George W.","Obama, Barack H.","Romney, Mitt","Trump, Donald J.",0.559577563,0.560171973,0.497036664,0.503930641,0.498280947,republican,republican,republican,democrat,republican,republican,FALSE,FALSE,TRUE,TRUE,FALSE
38,ND,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.606585813,0.62861335,0.532501003,0.583156826,0.629556278,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
31,NE,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.62245362,0.658986412,0.565318534,0.598031922,0.587473511,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
33,NH,"Bush, George W.","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.480703099,0.502016108,0.541268971,0.519796842,0.468262627,democrat,republican,democrat,democrat,democrat,democrat,TRUE,TRUE,FALSE,FALSE,FALSE
34,NJ,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.561256089,0.52923409,0.572721372,0.583423549,0.554530844,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
35,NM,"Gore, Al","Bush, George W.","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.479085541,0.498384248,0.569074803,0.529927605,0.482556472,democrat,democrat,republican,democrat,democrat,democrat,FALSE,TRUE,TRUE,FALSE,FALSE
32,NV,"Bush, George W.","Bush, George W.","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.494850892,0.504696915,0.551466759,0.523562495,0.479178237,democrat,republican,republican,democrat,democrat,democrat,TRUE,FALSE,TRUE,FALSE,FALSE
36,NY,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.566392705,0.561305813,0.601569615,0.607609842,0.561361426,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
39,OH,"Bush, George W.","Bush, George W.","Obama, Barack H.","Obama, Barack H.","Trump, Donald J.",0.499864738,0.508140243,0.515042701,0.506667477,0.516876507,democrat,republican,republican,democrat,democrat,republican,TRUE,FALSE,TRUE,FALSE,TRUE
40,OK,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.603078521,0.655704017,0.656450811,0.667723197,0.653228648,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
41,OR,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.4695994,0.51348663,0.567488063,0.542393267,0.50071852,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
42,PA,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Trump, Donald J.",0.506081713,0.509238091,0.54485528,0.520768577,0.485778858,democrat,democrat,democrat,democrat,democrat,republican,FALSE,FALSE,FALSE,FALSE,TRUE
44,RI,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.609877002,0.594234262,0.628640046,0.627009589,0.544066066,democrat,democrat,democrat,democrat,democrat,democrat,FALSE,FALSE,FALSE,FALSE,FALSE
45,SC,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.568603846,0.579819497,0.53873644,0.545611313,0.549393327,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
46,SD,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.602967727,0.599111317,0.531589764,0.578893119,0.615307504,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
47,TN,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.511491532,0.567990895,0.568969543,0.594787147,0.607220337,democrat,republican,republican,republican,republican,republican,TRUE,FALSE,FALSE,FALSE,FALSE
48,TX,"Bush, George W.","Bush, George W.","McCain, John","Romney, Mitt","Trump, Donald J.",0.592985995,0.610858228,0.554523605,0.571669775,0.522346856,republican,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE
