date	Sanders	Biden
20181211	13.0	30.0
20181213	19.0	32.0
20181217	20.0	20.0
20190202	12.59	27.295
20190306	25.0	27.0
20190315	15.0	29.0
20190324	20.55	25.15
20190409	16.0	27.0
20190418	19.0	19.0
20190502	13.7	34.9
20190519	24.0	24.0
20190605	16.0	24.0
20190612	22.0	30.0
20190620	18.0	27.0
20190701	10.5	20.5
20190704	16.0	16.0
20190718	19.0	24.0
20190725	10.9	22.9
20190804	9.0	28.0
20190811	17.0	17.0
20190904	26.0	29.0
20190916	9.0	25.0
20190917	16.0	16.0
20190918	11.0	20.0
20191010	5.0	21.5
20191011	21.0	22.0
20191016	12.5	22.8
20191018	9.0	17.6
20191022	18.0	12.0
20191030	19.0	17.0
20191105	17.0	15.0
20191106	14.0	13.0
20191110	18.1	15.3
20191111	13.0	19.0
20191113	18.5	18.5
20191119	18.0	12.0
20191210	21.7	23.3
20191216	21.0	15.0
20200103	23.0	23.0
20200108	20.0	15.0
20200112	21.0	26.0
20200117	10.3	23.3
20200118	14.0	24.0
20200121	24.0	17.0
20200123	24.0	21.0
20200126	26.35	21.575
20200127	23.0	22.25
20200128	18.0	20.0
20200129	28.0	15.0
20200130	26.666666666666668	26.0
20200202	24.75	19.5
